STATE_UT,YEAR,POPULATION_IN_MILIONS,"AVERAGE_LITERACY_RATE_IN %",AREA(KM2),SEX_RATIO,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,"OTHER IPC_CRIMES",TOTAL_IPC_CRIMES
MIZORAM,2002,0.89,91.58,21081,935,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,2820
ODISHA,2002,36.71,73.45,155707,972,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,47728
PUNJAB,2002,24.29,76.68,50362,876,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,28794
TRIPURA,2002,3.19,87.75,10491,948,201,38,1,108,0,108,128,48,80,29,0,56,192,270,51,219,180,12,20,7,40,518,16,128,0,236,0,46,849,3075
UTTARAKHAND,2002,8.48,79.63,53483,962,292,249,47,89,0,89,198,155,43,32,6,177,554,1365,374,991,342,145,312,8,40,760,66,145,97,316,1,440,2295,7976
"WEST BENGAL",2002,80.22,77.08,88752,934,1444,413,540,759,0,759,831,694,137,204,646,544,348,12449,2458,9991,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,58962
CHANDIGARH,2002,0.9,86.43,114,818,31,35,7,18,0,18,54,47,7,1,1,26,336,1647,617,1030,78,35,181,5,5,107,1,36,28,56,0,7,1111,3806
"DELHI UT",2002,13.78,86.34,1484,866,1062,880,136,806,0,806,2646,1786,860,94,134,1004,4720,33250,14868,18382,278,888,4196,92,114,3702,270,892,256,270,0,832,41752,98274
PUDUCHERRY,2002,0.97,86.55,479,1038,29,43,2,6,0,6,10,6,4,2,0,6,129,526,258,268,193,11,31,3,22,1093,5,59,26,9,0,190,2042,4437
"ARUNACHAL PRADESH",2003,1.09,66.95,83743,993,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,2061
