STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Cluster
BIHAR,PATNA,2001,434,581,30,27,0,27,197,11,186,91,31,414,426,1568,399,1169,506,196,331,12,54,354,90,47,0,152,39,178,2825,8583,2
KARNATAKA,BANGALORE COMMR.,2001,221,327,5,40,0,40,152,56,96,31,25,284,2108,6293,2401,3892,298,258,1708,79,3,3735,40,223,51,229,0,38,11106,27254,2
MAHARASHTRA,MUMBAI,2001,295,200,6,127,0,127,148,12,136,61,80,406,2863,11564,3095,8469,196,393,1270,170,6,3845,18,274,44,198,0,709,6095,28968,2
RAJASTHAN,JAIPUR,2001,91,90,6,61,0,61,247,203,44,7,5,79,1110,3207,1036,2171,3181,217,1103,25,63,1528,29,179,1,453,0,749,8173,20604,2
UTTAR PRADESH,AGRA,2001,153,162,18,66,0,66,203,132,71,50,3,171,432,1181,509,672,377,148,229,4,14,518,63,110,114,327,0,234,2085,6662,2
UTTAR PRADESH,ALIGARH,2001,229,242,21,50,0,50,123,78,45,39,4,182,190,727,219,508,366,120,145,3,32,446,44,90,54,258,0,189,1134,4688,2
UTTAR PRADESH,BAREILLY,2001,272,331,28,93,0,93,144,98,46,47,0,138,210,784,144,640,143,81,186,3,15,617,57,110,40,421,0,234,1315,5269,2
UTTAR PRADESH,KANPUR NAGAR,2001,210,198,28,47,0,47,210,176,34,30,1,128,361,1309,636,673,240,178,301,2,27,1040,64,106,213,356,0,385,1374,6808,2
UTTAR PRADESH,MEERUT,2001,275,239,10,28,0,28,160,96,64,35,0,210,268,1202,434,768,195,98,193,5,5,76,34,59,123,236,0,238,1688,5377,2
UTTAR PRADESH,MUZAFFARNAGAR,2001,324,255,12,54,0,54,142,67,75,23,5,150,185,637,189,448,186,74,94,10,18,110,24,51,33,265,0,116,1274,4042,2
DELHI UT,NORTH WEST,2001,134,107,13,103,0,103,518,298,220,14,9,122,619,2850,1429,1421,20,55,139,3,14,429,25,102,18,22,0,22,4663,10001,2
DELHI UT,SOUTH,2001,83,75,7,65,0,65,265,170,95,9,10,120,803,4220,1986,2234,46,100,373,1,10,307,15,96,24,22,0,103,3991,10745,2
BIHAR,PATNA,2002,472,682,30,37,0,37,203,36,167,93,27,491,494,1763,494,1269,489,206,342,6,35,445,76,42,0,148,0,376,2760,9217,2
GUJARAT,AHMEDABAD COMMR.,2002,222,143,0,12,0,12,153,92,61,219,4,206,643,4007,1950,2057,626,128,245,14,13,1398,6,36,18,433,0,0,5953,14479,2
KARNATAKA,BANGALORE COMMR.,2002,201,311,4,32,0,32,159,58,101,27,47,365,2084,7081,2754,4327,284,180,1788,107,1,4029,33,237,62,242,0,45,11801,29120,2
MAHARASHTRA,MUMBAI,2002,252,134,7,128,0,128,119,61,58,33,57,291,2597,10166,3101,7065,143,342,1155,76,5,3542,18,254,40,214,0,753,5950,26276,2
RAJASTHAN,JAIPUR,2002,85,116,10,57,0,57,256,221,35,2,4,78,982,3000,1137,1863,2699,233,1423,17,65,1482,32,187,0,517,0,765,7653,19663,2
UTTAR PRADESH,LUCKNOW,2002,175,162,38,43,0,43,195,147,48,23,0,145,656,2210,821,1389,219,190,358,4,16,85,59,92,105,369,0,327,3151,8622,2
DELHI UT,NORTH WEST,2002,135,90,9,120,0,120,430,259,171,20,11,112,487,2290,1210,1080,14,75,136,3,12,360,26,101,16,20,0,50,4674,9191,2
BIHAR,PATNA,2003,484,680,9,34,0,34,220,15,205,124,28,694,469,1654,661,993,494,198,370,24,59,389,85,49,0,127,0,312,3267,9770,2
GUJARAT,AHMEDABAD COMMR.,2003,90,68,3,18,0,18,157,96,61,31,6,365,959,5377,2287,3090,212,294,394,6,10,1371,3,50,30,595,0,173,5987,16199,2
KARNATAKA,BANGALORE COMMR.,2003,216,280,1,34,0,34,132,11,121,46,46,311,1713,7123,2682,4441,273,241,1780,87,0,3847,34,213,39,213,0,84,12547,29260,2
MAHARASHTRA,MUMBAI,2003,242,115,8,133,0,133,150,85,65,30,53,239,2550,9793,2883,6910,131,392,1178,73,7,3562,8,282,44,199,0,632,5865,25686,2
DELHI UT,NORTH WEST,2003,106,101,12,128,0,128,301,191,110,6,18,93,390,2191,1232,959,7,52,162,3,10,305,27,102,14,290,0,45,4419,8782,2
ASSAM,GUWAHATI CITY,2004,21,39,15,88,0,88,295,228,67,20,3,78,534,867,300,567,504,99,158,3,13,576,3,45,0,55,0,113,1545,5074,2
BIHAR,MUZAFFARPUR,2004,180,17,18,166,0,166,300,42,258,52,3,146,202,779,65,714,819,138,286,1,46,318,72,11,0,206,0,164,2886,6810,2
BIHAR,PATNA,2004,542,188,46,46,0,46,270,39,231,123,35,751,584,1568,1066,502,562,168,319,8,52,385,44,28,3,147,0,280,4483,10632,2
GUJARAT,AHMEDABAD COMMR.,2004,92,62,5,40,0,40,215,122,93,33,4,271,931,5711,2153,3558,162,275,333,7,10,1594,10,63,20,768,0,165,6782,17553,2
KARNATAKA,BANGALORE COMMR.,2004,214,285,2,32,0,32,175,61,114,37,73,455,1874,8241,3205,5036,323,145,1534,22,3,3542,44,151,35,227,0,104,11008,28526,2
MAHARASHTRA,MUMBAI,2004,253,127,4,187,0,187,178,113,65,42,68,302,2978,11510,3247,8263,213,510,1427,96,10,3702,13,321,78,248,0,735,6451,29453,2
DELHI UT,NORTH WEST,2004,129,137,19,124,0,124,285,203,82,4,22,120,443,2594,1522,1072,11,67,182,7,4,335,29,129,23,267,0,43,4866,9840,2
BIHAR,MUZAFFARPUR,2005,131,22,11,80,0,80,225,14,211,48,4,95,248,763,170,593,407,126,107,4,47,685,67,17,0,104,0,153,2019,5363,2
BIHAR,PATNA,2005,436,87,25,57,0,57,275,59,216,127,39,633,521,1356,1127,229,484,47,199,3,46,392,85,5,2,189,0,452,6380,11840,2
GUJARAT,AHMEDABAD COMMR.,2005,76,49,4,35,0,35,219,136,83,23,3,159,825,5359,2264,3095,150,267,344,9,6,1361,1,54,26,745,0,188,7565,17468,2
JHARKHAND,RANCHI,2005,239,168,19,102,5,97,105,0,105,82,19,190,239,1138,462,676,174,26,49,0,11,681,11,14,0,58,0,867,883,5075,2
KARNATAKA,BANGALORE COMMR.,2005,242,282,5,38,0,38,131,25,106,35,82,594,1771,9617,3753,5864,377,172,1633,90,5,3474,39,167,39,287,0,93,9869,29042,2
MAHARASHTRA,MUMBAI,2005,212,136,8,201,0,201,198,122,76,47,57,362,3175,11903,3494,8409,261,536,1664,169,10,3731,9,385,99,336,0,658,7275,31432,2
DELHI UT,NORTH-WEST,2005,128,121,18,190,0,190,572,349,223,9,19,124,543,2605,1546,1059,13,62,184,2,6,333,23,138,53,324,0,21,5531,11019,2
BIHAR,PATNA,2006,338,88,83,54,0,54,309,84,225,87,13,535,665,1558,978,580,440,4,265,7,8,53,54,13,2,239,0,275,7646,12736,2
GUJARAT,AHMEDABAD COMMR.,2006,99,60,7,46,0,46,182,146,36,23,3,172,802,5388,2317,3071,128,266,297,10,5,1371,4,72,22,956,0,227,9098,19238,2
JHARKHAND,RANCHI,2006,253,60,16,79,0,79,94,40,54,73,6,190,221,1210,373,837,229,65,135,7,30,550,14,36,2,40,4,320,1668,5302,2
