STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Cluster
KARNATAKA,BANGALORE COMMR.,2006,218,324,7,33,0,33,99,29,70,37,204,647,1666,7354,3501,3853,710,192,1554,55,5,2640,50,143,2,290,0,113,9941,26284,2
MAHARASHTRA,MUMBAI COMMR.,2006,239,135,5,165,0,165,190,129,61,29,61,292,3111,11685,3552,8133,278,510,1701,137,15,3797,17,357,102,327,1,778,7138,31070,2
UTTAR PRADESH,LUCKNOW,2006,167,185,40,51,0,51,205,164,41,7,3,241,462,2296,1280,1016,267,210,464,34,2,63,39,100,160,374,0,420,2312,8102,2
DELHI UT,NORTH-WEST,2006,128,151,12,169,0,169,437,287,150,4,43,105,456,2690,1769,921,12,48,186,3,4,358,28,137,11,412,0,48,5704,11146,2
DELHI UT,SOUTH,2006,66,69,13,87,0,87,215,169,46,2,55,117,350,3820,2302,1518,12,92,379,1,5,206,19,141,34,215,0,49,4907,10854,2
ASSAM,GUWAHATI CITY,2007,68,11,19,71,0,71,284,135,149,14,0,81,458,1941,1380,561,73,90,109,15,12,205,6,24,0,106,0,164,178,3929,2
BIHAR,PATNA,2007,317,115,12,74,0,74,313,65,248,57,0,380,644,1606,946,660,497,53,216,3,2,65,80,19,0,296,0,285,9030,14064,2
GUJARAT,AHMEDABAD COMMR.,2007,100,44,2,37,0,37,213,147,66,13,3,417,677,4302,2316,1986,133,188,204,9,0,1421,4,104,13,1221,0,252,7953,17310,2
KARNATAKA,BANGALORE COMMR.,2007,246,264,7,62,1,61,119,35,84,41,203,545,1485,7377,3667,3710,425,183,2052,45,2,2381,54,187,2,290,0,110,10969,27049,2
MAHARASHTRA,MUMBAI COMMR.,2007,230,116,2,174,0,174,179,120,59,31,42,265,2886,11670,3621,8049,260,470,1735,113,13,3781,17,365,112,380,0,778,6862,30481,2
MAHARASHTRA,NAGPUR COMMR.,2007,73,60,5,50,0,50,66,50,16,27,59,357,1141,2354,899,1455,242,73,309,13,20,996,7,96,51,251,0,280,3261,9791,2
MAHARASHTRA,PUNE COMMR.,2007,126,126,8,66,0,66,122,93,29,37,52,232,1369,4653,2492,2161,457,74,517,12,18,1274,6,79,77,250,0,537,2726,12818,2
UTTAR PRADESH,KANPUR NAGAR,2007,148,132,46,46,0,46,291,222,69,42,5,114,264,1204,839,365,273,252,582,32,18,548,59,102,165,673,0,107,2905,8008,2
UTTAR PRADESH,LUCKNOW,2007,159,118,55,82,0,82,260,216,44,32,6,221,613,2642,1558,1084,299,357,779,21,3,58,57,98,159,513,0,478,3007,10017,2
WEST BENGAL,24 PARGANAS NORTH,2007,194,6,46,231,0,231,236,236,0,13,238,18,14,1183,269,914,545,5,210,3,10,281,53,187,2,1696,0,113,3917,9201,2
WEST BENGAL,24 PARGANAS SOUTH,2007,158,123,48,205,0,205,241,176,65,14,323,39,20,1440,322,1118,325,94,123,11,7,218,67,205,4,1398,2,4,3787,8856,2
DELHI UT,OUTER,2007,102,96,17,121,0,121,360,237,123,4,13,85,231,1216,700,516,12,20,98,0,4,226,29,100,12,208,0,46,2690,5690,2
DELHI UT,SOUTH,2007,68,84,11,83,0,83,256,177,79,2,110,75,412,3179,1742,1437,19,102,348,6,5,193,22,169,36,275,0,67,4892,10414,2
BIHAR,PATNA,2008,341,189,28,57,0,57,341,78,263,63,0,312,647,1455,880,575,428,46,318,5,6,93,99,31,1,189,0,781,9061,14491,2
GUJARAT,AHMEDABAD COMMR.,2008,85,60,0,44,0,44,172,137,35,14,2,538,778,5485,3239,2246,168,223,200,14,1,1335,1,78,19,1185,0,242,7900,18544,2
KARNATAKA,BANGALORE COMMR.,2008,253,297,8,54,0,54,159,2,157,88,203,702,1787,9681,5605,4076,348,190,2025,49,10,2497,52,179,1,307,0,126,10648,29664,2
MADHYA PRADESH,INDORE,2008,125,197,2,122,0,122,61,46,15,7,8,354,1227,4660,3340,1320,223,43,102,5,55,1588,35,343,63,369,0,426,9572,19587,2
MAHARASHTRA,MUMBAI COMMR.,2008,210,132,0,218,0,218,189,116,73,35,27,328,2846,12972,4068,8904,377,481,2025,124,22,4155,11,436,121,502,0,709,6850,32770,2
MAHARASHTRA,NAGPUR COMMR.,2008,100,57,4,53,0,53,43,28,15,14,41,321,941,2062,871,1191,258,77,336,21,16,773,7,91,71,237,0,269,2869,8661,2
MAHARASHTRA,PUNE COMMR.,2008,137,141,5,92,0,92,110,80,30,37,39,379,1395,5509,3262,2247,530,82,600,30,21,1328,7,113,73,273,0,642,2924,14467,2
UTTAR PRADESH,KANPUR NAGAR,2008,168,114,39,72,0,72,296,227,69,24,4,144,279,1293,821,472,220,328,645,24,7,505,86,136,578,632,0,127,3164,8885,2
UTTAR PRADESH,LUCKNOW,2008,130,160,32,82,0,82,389,331,58,17,1,147,804,3100,1548,1552,441,589,1140,23,3,57,62,226,340,778,0,490,4696,13707,2
WEST BENGAL,24 PARGANAS NORTH,2008,192,168,47,192,0,192,317,215,102,15,329,43,19,1452,257,1195,579,184,239,12,13,234,67,209,5,1946,0,12,4973,11247,2
WEST BENGAL,24 PARGANAS SOUTH,2008,239,35,43,308,0,308,280,275,5,16,236,35,11,1773,229,1544,1115,30,217,3,6,292,53,192,0,2551,1,131,6353,13920,2
WEST BENGAL,JALPAIGURI,2008,126,134,44,334,0,334,299,239,60,11,0,76,135,2879,176,2703,129,143,93,5,0,1493,18,376,0,1062,0,216,5419,12992,2
DELHI UT,OUTER,2008,77,53,14,59,0,59,355,252,103,7,7,43,249,1871,1277,594,3,39,111,1,2,212,21,48,5,162,0,25,1873,5237,2
ASSAM,GUWAHATI CITY,2009,86,34,4,54,0,54,293,231,62,24,8,165,631,1728,728,1000,49,148,227,9,45,721,9,162,0,321,0,311,2251,7280,2
ASSAM,NAGAON,2009,75,67,2,162,0,162,233,221,12,36,4,76,259,439,95,344,209,132,99,1,69,655,12,134,7,655,0,182,1695,5203,2
BIHAR,PATNA,2009,314,104,12,46,0,46,351,167,184,54,2,227,714,2794,1263,1531,476,29,448,17,5,130,95,21,0,341,0,255,8011,14446,2
GUJARAT,AHMEDABAD COMMR.,2009,83,50,7,63,0,63,181,132,49,16,2,844,751,6283,4232,2051,178,224,205,16,6,1165,5,74,18,1169,0,205,9181,20726,2
KARNATAKA,BANGALORE COMMR.,2009,256,338,1,65,0,65,270,2,268,41,278,743,1592,11730,7074,4656,337,214,3007,65,8,2653,50,251,35,367,0,87,9992,32380,2
MADHYA PRADESH,INDORE,2009,132,208,3,82,0,82,36,29,7,5,20,320,1009,3927,2802,1125,109,39,159,1,40,2505,44,419,91,484,0,421,8252,18306,2
MAHARASHTRA,MUMBAI COMMR.,2009,217,160,6,182,0,182,149,86,63,39,34,316,2769,12009,4183,7826,305,511,2132,129,14,3892,15,400,101,434,0,710,6738,31262,2
MAHARASHTRA,NAGPUR COMMR.,2009,95,72,2,45,0,45,73,52,21,18,17,317,724,1733,831,902,209,68,302,19,16,791,7,60,39,232,0,260,2686,7785,2
MAHARASHTRA,PUNE COMMR.,2009,119,120,9,67,0,67,105,84,21,36,52,513,1305,5181,3261,1920,468,76,613,58,19,1215,7,100,72,235,0,539,2939,13848,2
UTTAR PRADESH,AGRA,2009,127,156,47,40,0,40,243,185,58,15,0,82,181,1770,1312,458,224,144,320,39,4,447,83,97,85,381,0,417,1802,6704,2
UTTAR PRADESH,ALIGARH,2009,143,222,28,58,0,58,244,214,30,14,11,129,234,1116,517,599,288,140,309,6,20,307,54,109,48,294,0,323,1636,5733,2
UTTAR PRADESH,GHAZIABAD,2009,254,277,31,53,0,53,491,321,170,53,11,195,394,4377,3378,999,349,256,535,14,7,53,66,88,182,556,0,456,3123,11821,2
UTTAR PRADESH,KANPUR NAGAR,2009,143,84,45,40,0,40,282,227,55,16,0,114,229,1094,745,349,187,223,403,34,3,446,73,109,210,551,0,449,2077,6812,2
UTTAR PRADESH,LUCKNOW,2009,114,86,26,56,0,56,323,306,17,15,1,101,658,2533,1301,1232,244,498,915,19,2,48,53,178,256,664,0,503,5131,12424,2
WEST BENGAL,24 PARGANAS NORTH,2009,229,238,241,166,0,166,368,249,119,21,99,88,22,1959,491,1468,778,224,257,8,25,285,54,203,3,2225,0,4,5549,13046,2
WEST BENGAL,MURSHIDABAD,2009,184,607,53,568,0,568,408,342,66,22,54,73,11,857,166,691,745,39,220,12,49,2994,51,348,1,3035,0,269,1708,12308,2
WEST BENGAL,NADIA,2009,135,372,81,175,0,175,297,276,21,28,30,69,21,1288,175,1113,197,37,176,9,18,1709,44,118,0,1508,1,195,2198,8706,2
DELHI UT,EAST,2009,56,50,5,52,0,52,299,187,112,9,2,52,196,3015,2022,993,9,41,146,4,8,231,10,81,10,121,0,194,1788,6379,2
DELHI UT,NORTH-EAST,2009,74,56,5,47,0,47,375,246,129,5,0,53,117,2086,1434,652,7,22,100,2,3,274,15,67,9,138,0,182,1083,4720,2
DELHI UT,OUTER,2009,74,44,10,41,0,41,332,204,128,3,1,21,217,1974,1295,679,6,29,99,0,8,227,21,61,6,173,0,24,1598,4969,2
DELHI UT,SOUTH-EAST,2009,48,29,5,59,0,59,318,237,81,1,16,62,174,2641,1684,957,3,51,141,3,1,249,18,78,30,63,0,271,2006,6267,2
DELHI UT,WEST,2009,49,35,19,63,0,63,328,225,103,2,8,46,192,2151,1422,729,3,24,135,1,5,231,21,38,6,217,0,14,1523,5111,2
ASSAM,GUWAHATI CITY,2010,52,38,4,70,0,70,386,322,64,15,4,172,716,2036,967,1069,78,158,240,22,37,644,12,119,0,218,0,213,3985,9219,2
ASSAM,NAGAON,2010,83,67,5,148,3,145,302,293,9,33,3,114,271,387,72,315,269,160,97,4,52,608,15,18,9,769,0,247,2038,5699,2
BIHAR,PATNA,2010,304,20,5,50,0,50,283,148,135,42,0,184,594,2627,1308,1319,516,11,591,12,2,34,95,12,3,316,0,403,7932,14036,2
GUJARAT,AHMEDABAD COMMR.,2010,82,66,4,49,0,49,207,177,30,26,2,805,799,4659,3101,1558,171,263,212,17,4,1365,12,73,9,1230,0,203,11184,21442,2
KARNATAKA,BANGALORE COMMR.,2010,266,445,5,65,0,65,513,29,484,66,246,641,1335,10568,6407,4161,349,139,3073,72,7,3153,52,308,50,398,0,104,10333,32188,2
MAHARASHTRA,MUMBAI COMMR.,2010,228,170,7,194,0,194,194,146,48,35,42,410,3059,13195,4167,9028,391,482,2211,76,22,4487,21,475,138,312,0,690,7093,33932,2
MAHARASHTRA,PUNE COMMR.,2010,129,94,6,91,0,91,129,94,35,30,31,452,1250,4674,2948,1726,393,72,663,37,17,1169,4,78,91,214,0,620,3358,13602,2
UTTAR PRADESH,ALIGARH,2010,130,167,37,63,0,63,274,237,37,25,1,87,248,1068,563,505,280,128,385,7,22,295,69,164,0,318,0,315,1553,5636,2
UTTAR PRADESH,GHAZIABAD,2010,216,220,35,44,0,44,366,285,81,32,2,174,303,3993,3190,803,195,201,521,9,6,45,69,77,0,536,0,1166,2007,10217,2
UTTAR PRADESH,KANPUR NAGAR,2010,150,109,41,42,0,42,316,263,53,10,1,81,267,1181,858,323,176,215,461,53,0,407,92,118,7,447,0,571,2147,6892,2
UTTAR PRADESH,LUCKNOW,2010,114,89,32,75,0,75,328,320,8,15,6,105,491,2832,1757,1075,213,460,849,55,1,46,66,155,0,745,0,481,5296,12454,2
UTTAR PRADESH,MEERUT,2010,164,207,18,64,0,64,195,147,48,11,2,252,217,1909,1343,566,211,120,356,21,0,23,43,91,0,344,0,411,2133,6792,2
UTTAR PRADESH,MORADABAD,2010,176,149,26,66,0,66,204,184,20,14,2,97,133,849,505,344,52,66,202,11,0,58,41,76,0,268,0,341,1551,4382,2
UTTAR PRADESH,MUZAFFARNAGAR,2010,168,220,38,34,0,34,233,174,59,17,1,91,83,588,305,283,186,90,346,5,0,16,40,52,0,341,0,324,1977,4850,2
WEST BENGAL,24 PARGANAS NORTH,2010,244,224,179,173,0,173,438,292,146,15,108,83,28,2312,576,1736,815,240,312,6,25,179,71,174,8,2378,5,11,7123,15151,2
WEST BENGAL,24 PARGANAS SOUTH,2010,263,2,25,258,0,258,215,215,0,12,69,39,9,2732,475,2257,1238,9,116,1,15,223,48,113,0,2879,0,12,7021,15299,2
WEST BENGAL,JALPAIGURI,2010,117,97,34,180,0,180,259,206,53,19,1,65,61,1290,165,1125,74,87,75,1,14,1230,12,269,0,649,0,233,2666,7433,2
WEST BENGAL,MURSHIDABAD,2010,185,620,36,526,0,526,511,441,70,18,70,44,7,983,204,779,553,54,170,30,54,3799,45,609,6,2927,0,311,1536,13094,2
WEST BENGAL,NADIA,2010,121,335,21,167,0,167,345,339,6,30,25,86,13,1191,190,1001,189,35,176,18,26,1792,65,102,4,1586,0,189,2758,9274,2
DELHI UT,EAST,2010,57,54,8,47,0,47,357,192,165,7,0,81,204,3443,2617,826,14,26,174,1,7,196,12,83,8,163,0,182,1599,6723,2
DELHI UT,NORTH-EAST,2010,68,27,7,51,0,51,458,252,206,5,1,57,81,2544,1821,723,6,12,90,0,5,276,24,68,5,216,0,162,899,5062,2
DELHI UT,NORTH-WEST,2010,60,49,4,50,0,50,260,132,128,8,5,178,225,2411,1472,939,2,20,112,0,5,177,11,62,5,163,0,24,1185,5016,2
DELHI UT,OUTER,2010,98,42,7,49,0,49,457,260,197,4,4,39,234,2129,1540,589,3,23,141,0,5,245,21,64,9,124,0,26,1771,5495,2
DELHI UT,SOUTH-EAST,2010,48,25,11,80,0,80,369,189,180,0,8,32,142,2345,1516,829,10,44,179,3,3,238,13,92,10,60,0,326,1568,5606,2
DELHI UT,SOUTH-WEST,2010,63,20,3,54,0,54,363,203,160,1,0,30,83,1339,919,420,7,15,92,0,2,144,24,28,5,94,0,11,1125,3503,2
DELHI UT,WEST,2010,63,29,14,72,0,72,350,192,158,0,1,48,156,2588,1752,836,1,29,161,2,11,210,19,60,7,191,0,41,1422,5475,2
ASSAM,DHUBRI,2011,61,19,7,157,0,157,307,276,31,20,0,36,139,223,7,216,444,65,82,14,103,525,12,210,2,693,0,93,1032,4244,2
ASSAM,GUWAHATI CITY,2011,58,59,2,56,0,56,366,306,60,22,3,252,696,2236,100,2136,111,124,259,11,3,469,10,112,0,213,0,230,5253,10545,2
ASSAM,NAGAON,2011,91,70,4,165,0,165,374,358,16,52,0,139,344,448,37,411,279,100,75,3,84,716,20,82,4,772,0,506,1670,5998,2
BIHAR,MUZAFFARPUR,2011,154,24,14,56,0,56,255,219,36,30,6,86,204,1134,373,761,445,52,226,0,36,247,76,4,0,91,2,347,3338,6827,2
BIHAR,PATNA,2011,248,25,4,41,0,41,364,167,197,52,10,161,545,2879,1321,1558,534,21,686,20,3,1036,112,1,2,317,0,511,6140,13712,2
GUJARAT,AHMEDABAD COMMR.,2011,95,69,2,60,0,60,230,184,46,31,0,720,831,3874,2308,1566,156,312,288,10,6,1427,19,83,16,1390,0,187,10397,20203,2
KARNATAKA,BANGALORE COMMR.,2011,232,460,3,97,0,97,573,206,367,43,342,783,1313,10543,5977,4566,390,152,3155,60,4,2927,53,250,40,458,0,108,8297,30283,2
MAHARASHTRA,MUMBAI COMMR.,2011,203,180,4,221,0,221,221,166,55,28,46,467,2745,12983,4702,8281,379,553,1946,81,46,4302,14,553,162,393,0,656,6464,32647,2
MAHARASHTRA,PUNE COMMR.,2011,110,118,5,79,0,79,104,72,32,19,34,546,1192,4710,2869,1841,478,93,769,34,27,991,8,118,80,251,0,538,2318,12622,2
MAHARASHTRA,THANE COMMR.,2011,127,65,4,79,0,79,92,70,22,22,23,277,1127,2956,1324,1632,279,127,855,21,23,2011,8,161,38,342,0,312,704,9653,2
MAHARASHTRA,THANE RURAL,2011,147,61,19,63,0,63,55,32,23,42,11,295,759,1168,529,639,345,50,364,8,26,788,10,105,18,57,0,650,964,6005,2
UTTAR PRADESH,AGRA,2011,181,182,38,76,0,76,395,328,67,20,0,185,381,3706,2869,837,486,149,386,39,7,411,87,196,0,341,0,515,2509,10290,2
UTTAR PRADESH,ALIGARH,2011,168,174,33,66,0,66,320,265,55,9,0,91,178,1260,717,543,316,121,346,1,25,293,73,194,0,256,0,341,1616,5881,2
UTTAR PRADESH,ALLAHABAD,2011,156,126,34,67,0,67,220,190,30,8,2,88,257,1390,970,420,218,113,256,12,10,439,75,93,1,266,0,396,2029,6256,2
UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,88,106,15,25,0,25,141,95,46,16,0,235,170,2967,2128,839,108,90,319,2,0,16,25,42,0,102,0,325,1423,6215,2
UTTAR PRADESH,GHAZIABAD,2011,162,136,35,22,0,22,257,219,38,7,1,135,212,3108,2450,658,113,156,432,2,0,16,47,59,0,255,0,372,2286,7813,2
UTTAR PRADESH,KANPUR NAGAR,2011,159,140,41,71,0,71,343,303,40,11,0,133,319,1738,1353,385,177,208,510,35,3,309,69,140,2,284,0,453,2516,7661,2
UTTAR PRADESH,LUCKNOW,2011,119,97,46,55,0,55,292,283,9,11,0,61,454,2167,1327,840,182,392,790,19,11,43,48,142,0,511,0,493,4605,10538,2
UTTAR PRADESH,MEERUT,2011,189,235,25,79,0,79,323,271,52,9,1,235,247,2445,1660,785,238,96,444,8,7,24,36,99,0,400,0,357,2110,7607,2
WEST BENGAL,24 PARGANAS NORTH,2011,232,215,126,203,0,203,587,414,173,32,150,117,27,2918,811,2107,720,259,440,9,41,238,88,218,10,2847,0,17,7918,17412,2
WEST BENGAL,24 PARGANAS SOUTH,2011,247,3,33,274,0,274,349,349,0,15,103,32,4,2288,399,1889,1445,15,159,5,26,207,43,121,3,2793,0,25,7062,15252,2
WEST BENGAL,JALPAIGURI,2011,108,79,27,211,0,211,293,257,36,9,0,37,50,1521,295,1226,54,83,109,3,33,320,13,223,0,947,0,279,3487,7886,2
WEST BENGAL,MURSHIDABAD,2011,145,637,28,433,0,433,566,492,74,21,79,47,13,1109,186,923,252,96,189,27,45,4012,49,621,5,2956,0,290,2534,14154,2
WEST BENGAL,NADIA,2011,136,375,26,185,0,185,500,453,47,25,40,43,20,1373,243,1130,207,99,291,11,13,2668,65,128,2,1923,0,156,3985,12271,2
DELHI UT,EAST,2011,54,53,6,55,0,55,393,226,167,7,1,67,154,3490,2405,1085,10,21,193,3,5,190,14,78,17,160,0,194,1839,7004,2
DELHI UT,NORTH-EAST,2011,66,43,9,69,0,69,530,285,245,5,5,55,76,2702,1812,890,3,17,101,0,1,288,21,88,21,254,0,165,1215,5734,2
DELHI UT,NORTH-WEST,2011,51,36,2,58,0,58,331,177,154,4,0,89,180,2268,1554,714,1,18,165,1,3,132,10,48,13,117,0,31,1331,4889,2
DELHI UT,OUTER,2011,84,60,10,73,0,73,577,328,249,4,4,74,260,2220,1570,650,4,36,167,1,8,248,34,65,3,196,0,23,1967,6118,2
DELHI UT,SOUTH-EAST,2011,61,33,6,75,0,75,478,234,244,4,3,54,147,2437,1578,859,6,59,262,3,8,270,19,127,32,108,0,270,1915,6377,2
