STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Cluster
ANDHRA PRADESH,ADILABAD,2001,101,60,17,50,0,50,46,30,16,9,0,41,198,199,22,177,78,16,104,1,30,1131,16,149,34,175,0,181,1518,4154,1
ANDHRA PRADESH,ANANTAPUR,2001,151,125,1,23,0,23,53,30,23,8,0,16,191,366,57,309,168,11,65,8,69,1543,7,118,24,154,0,270,754,4125,1
ANDHRA PRADESH,CHITTOOR,2001,101,57,2,27,0,27,59,34,25,4,0,14,237,723,164,559,156,33,209,9,38,2088,14,112,83,186,0,404,1262,5818,1
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,1,23,0,23,49,26,23,4,0,25,437,1021,150,871,70,50,220,3,41,1244,12,109,58,247,0,431,2313,6507,1
ANDHRA PRADESH,GUNTUR,2001,182,88,2,54,0,54,82,51,31,16,3,59,338,1122,171,951,244,67,300,8,43,1792,7,139,129,378,0,369,2426,7848,1
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,7,37,0,37,80,39,41,13,0,67,1155,2792,1128,1664,65,101,1293,24,0,3137,24,118,27,746,0,409,1512,11831,1
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,6,56,0,56,67,49,18,27,1,50,218,392,54,338,220,25,243,5,33,1392,62,414,81,224,0,322,1726,5811,1
ANDHRA PRADESH,KHAMMAM,2001,93,60,1,47,0,47,41,30,11,1,0,13,172,368,34,334,153,35,130,5,73,1026,17,180,336,172,0,209,1450,4582,1
ANDHRA PRADESH,KURNOOL,2001,133,72,4,29,0,29,47,47,0,6,0,22,155,297,6,291,84,6,126,2,5,1547,13,141,107,92,0,292,1401,4581,1
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,26,59,0,59,42,27,15,8,0,27,249,316,33,283,157,22,84,0,0,867,14,176,41,69,0,280,2158,4819,1
ANDHRA PRADESH,MEDAK,2001,101,56,12,35,0,35,26,20,6,27,0,26,219,286,36,250,100,17,87,4,37,1367,26,100,25,192,0,335,454,3532,1
ANDHRA PRADESH,NALGONDA,2001,122,60,1,35,0,35,27,19,8,6,0,28,133,318,43,275,220,13,122,8,72,1132,31,188,59,214,0,432,1781,5002,1
